ticket_id,customer_id,ticket_date,issue_category,issue_subcategory,priority,ticket_status,resolution_time_hours,customer_satisfaction_score,ticket_description,support_agent_id
TCK0000625,CUST000801,2023-12-15,Account Access,Account locked,High,Resolved,15.8,3.0,My account got locked after multiple login attempts from a new device and support has not responded yet.,AGT0104
TCK0000626,CUST000801,2025-04-12,Streaming Quality,Low resolution,High,Pending,,,Even on the premium plan the video quality looks like standard definition on my smart TV.,AGT0090
TCK0000627,CUST000803,2024-03-22,Billing & Payments,Refund request,Low,Resolved,2.2,1.0,"Please process a refund, I was charged after cancellation and this needs to be corrected quickly.",AGT0077
TCK0000628,CUST000804,2024-04-09,Streaming Quality,Audio sync issue,Medium,Closed,11.3,3.0,The audio is out of sync with the video on almost every title I try to watch on my tablet.,AGT0114
TCK0000629,CUST000805,2023-01-02,Device & App,Device not supported,Low,Resolved,0.5,1.0,My new smart TV model shows the app as unsupported even though older models work fine.,AGT0084
TCK0000630,CUST000806,2024-08-10,Billing & Payments,Duplicate charge,High,Resolved,21.5,3.0,There are two identical transactions on my statement for this billing cycle which should not have happened.,AGT0103
TCK0000631,CUST000806,2024-04-14,Streaming Quality,App crashing,Medium,Escalated,,,"The app crashes every time I try to open a show on my mobile device, I already reinstalled it twice.",AGT0037
TCK0000632,CUST000809,2026-04-05,Device & App,Sync across devices,Low,Closed,3.8,4.0,My watch history does not sync between my phone and my TV even though I am logged into the same account.,AGT0052
TCK0000633,CUST000811,2024-06-17,Billing & Payments,Failed payment,High,Resolved,19.2,5.0,"My payment failed twice this month even though my card has sufficient balance, and I still lost access to my account.",AGT0006
TCK0000634,CUST000812,2025-09-09,Streaming Quality,Audio sync issue,Low,Resolved,18.4,5.0,The audio is out of sync with the video on almost every title I try to watch on my tablet.,AGT0069
TCK0000635,CUST000813,2024-03-01,Streaming Quality,Buffering,Low,Resolved,39.4,5.0,Streaming keeps buffering constantly even though my internet speed test shows more than enough bandwidth.,AGT0104
TCK0000636,CUST000813,2021-07-31,Device & App,Download failure,Low,Resolved,9.1,5.0,Downloads for offline viewing keep failing at random percentages and I have to restart every time.,AGT0014
TCK0000637,CUST000813,2023-02-20,Account Access,Account locked,High,Resolved,14.3,4.0,My account got locked after multiple login attempts from a new device and support has not responded yet.,AGT0118
TCK0000638,CUST000814,2025-09-17,Device & App,Device not supported,High,Escalated,,,My new smart TV model shows the app as unsupported even though older models work fine.,AGT0043
TCK0000639,CUST000817,2025-05-16,Billing & Payments,Invoice question,Medium,Resolved,20.8,5.0,"Can you send me a detailed invoice breakdown for this month's charge, the app only shows a total amount.",AGT0103
TCK0000640,CUST000818,2022-08-17,Subscription,Cancellation request,Low,Resolved,5.3,4.0,"I want to cancel my subscription immediately, I have not been using the service for the last few months.",AGT0064
TCK0000641,CUST000819,2025-01-13,Streaming Quality,Audio sync issue,High,Closed,2.0,3.0,The audio is out of sync with the video on almost every title I try to watch on my tablet.,AGT0045
TCK0000642,CUST000820,2025-04-08,Streaming Quality,Low resolution,High,Closed,21.6,3.0,Even on the premium plan the video quality looks like standard definition on my smart TV.,AGT0071
TCK0000643,CUST000820,2025-08-26,Account Access,Password reset,Low,Resolved,26.8,4.0,I requested a password reset link three times but never received the email in my inbox or spam folder.,AGT0060
TCK0000644,CUST000821,2025-10-17,Device & App,Device not supported,Medium,Resolved,36.2,5.0,My new smart TV model shows the app as unsupported even though older models work fine.,AGT0104
TCK0000645,CUST000822,2023-10-22,Subscription,Plan upgrade request,High,Resolved,21.2,5.0,I want to upgrade to the premium plan for better video quality and more simultaneous streams.,AGT0002
TCK0000646,CUST000822,2025-12-09,Streaming Quality,App crashing,Low,Pending,,,"The app crashes every time I try to open a show on my mobile device, I already reinstalled it twice.",AGT0113
TCK0000647,CUST000823,2023-12-01,Billing & Payments,Invoice question,High,Resolved,2.1,3.0,"Can you send me a detailed invoice breakdown for this month's charge, the app only shows a total amount.",AGT0082
TCK0000648,CUST000823,2021-03-10,Account Access,Login failure,Medium,Resolved,3.5,4.0,"Login keeps failing after the recent app update, this has been going on for two days now.",AGT0035
TCK0000649,CUST000824,2025-10-29,Device & App,Sync across devices,Critical,Resolved,3.6,4.0,My watch history does not sync between my phone and my TV even though I am logged into the same account.,AGT0011
TCK0000650,CUST000827,2020-05-27,Billing & Payments,Duplicate charge,High,Resolved,23.9,1.0,There are two identical transactions on my statement for this billing cycle which should not have happened.,AGT0045
TCK0000651,CUST000827,2020-07-08,Streaming Quality,App crashing,Medium,Resolved,11.1,3.0,"The app crashes every time I try to open a show on my mobile device, I already reinstalled it twice.",AGT0027
TCK0000652,CUST000827,2021-09-27,Content,Content removed,Medium,Pending,,,A show I was halfway through watching was removed from the platform with no notice at all.,AGT0109
TCK0000653,CUST000829,2024-11-12,Subscription,Cancellation request,Low,Closed,19.2,3.0,"Please cancel my plan, the content library does not match what I expected when I signed up.",AGT0014
TCK0000654,CUST000829,2025-11-20,Content,Content removed,Low,Escalated,,,A show I was halfway through watching was removed from the platform with no notice at all.,AGT0107
TCK0000655,CUST000832,2025-01-15,Account Access,Login failure,Medium,Escalated,,,"Login keeps failing after the recent app update, this has been going on for two days now.",AGT0092
TCK0000656,CUST000833,2025-04-15,Billing & Payments,Invoice question,High,Resolved,29.6,3.0,"Can you send me a detailed invoice breakdown for this month's charge, the app only shows a total amount.",AGT0019
TCK0000657,CUST000835,2023-03-31,Content,Content removed,Low,Resolved,2.6,2.0,A show I was halfway through watching was removed from the platform with no notice at all.,AGT0033
TCK0000658,CUST000836,2022-04-08,Billing & Payments,Price dispute,Medium,Resolved,55.8,4.0,I did not receive any communication about the plan price change and feel this was handled poorly.,AGT0117
TCK0000659,CUST000838,2020-08-31,Streaming Quality,Audio sync issue,Low,Closed,41.8,4.0,The audio is out of sync with the video on almost every title I try to watch on my tablet.,AGT0023
TCK0000660,CUST000842,2023-09-20,Account Access,Account locked,Medium,Resolved,66.5,3.0,My account got locked after multiple login attempts from a new device and support has not responded yet.,AGT0098
TCK0000661,CUST000844,2022-02-06,Device & App,App not loading,Low,Escalated,,,The app does not load past the splash screen on my gaming console since the last update.,AGT0038
TCK0000662,CUST000844,2024-05-15,Account Access,Account locked,Low,Resolved,16.1,3.0,My account got locked after multiple login attempts from a new device and support has not responded yet.,AGT0003
TCK0000663,CUST000846,2024-01-24,Subscription,Plan downgrade request,Medium,Pending,,,"I would like to downgrade my plan next cycle, please let me know how to do that from my account settings.",AGT0026
TCK0000664,CUST000847,2020-09-06,Streaming Quality,Buffering,Low,Pending,,,The video quality drops and buffers every evening during peak hours which is very annoying.,AGT0032
TCK0000665,CUST000848,2026-04-06,Billing & Payments,Refund request,High,Resolved,7.0,4.0,"Please process a refund, I was charged after cancellation and this needs to be corrected quickly.",AGT0060
TCK0000666,CUST000849,2026-04-10,Billing & Payments,Failed payment,High,Resolved,9.2,3.0,"Card declined during renewal, I had to retry three times before it finally went through and I am frustrated with this.",AGT0028
TCK0000667,CUST000850,2021-06-09,Account Access,Account locked,Low,Closed,4.2,4.0,My account got locked after multiple login attempts from a new device and support has not responded yet.,AGT0101
TCK0000668,CUST000853,2023-11-27,Account Access,Account locked,Low,Closed,21.3,3.0,My account got locked after multiple login attempts from a new device and support has not responded yet.,AGT0028
TCK0000669,CUST000854,2026-04-05,Content,Content unavailable in region,Medium,Resolved,3.8,4.0,Several titles I could watch last month are now unavailable in my region without any explanation.,AGT0025
TCK0000670,CUST000855,2026-02-06,Billing & Payments,Price dispute,High,Escalated,,,The price increased without any prior notice and I am not happy paying more for the same plan.,AGT0037
TCK0000671,CUST000855,2025-02-26,Billing & Payments,Duplicate charge,Medium,Closed,11.7,3.0,"I was billed twice for the same month, please refund the extra charge as soon as possible.",AGT0076
TCK0000672,CUST000856,2025-10-01,Streaming Quality,Buffering,Medium,Escalated,,,The video quality drops and buffers every evening during peak hours which is very annoying.,AGT0067
TCK0000673,CUST000858,2024-02-11,Account Access,Account locked,High,Resolved,3.6,5.0,My account got locked after multiple login attempts from a new device and support has not responded yet.,AGT0077
TCK0000674,CUST000858,2025-06-02,Subscription,Plan downgrade request,Low,Closed,34.6,5.0,"I would like to downgrade my plan next cycle, please let me know how to do that from my account settings.",AGT0066
TCK0000675,CUST000859,2025-03-05,Billing & Payments,Invoice question,Medium,Resolved,4.6,3.0,"Can you send me a detailed invoice breakdown for this month's charge, the app only shows a total amount.",AGT0113
TCK0000676,CUST000861,2021-12-01,Billing & Payments,Refund request,Medium,Resolved,19.4,2.0,I want to request a refund since I cancelled within the trial period but was still charged the full amount.,AGT0015
TCK0000677,CUST000862,2025-06-26,Streaming Quality,Audio sync issue,Low,Resolved,39.2,4.0,The audio is out of sync with the video on almost every title I try to watch on my tablet.,AGT0040
TCK0000678,CUST000866,2021-11-23,Device & App,Download failure,Critical,Escalated,,,Downloads for offline viewing keep failing at random percentages and I have to restart every time.,AGT0029
TCK0000679,CUST000871,2026-06-27,Account Access,Password reset,Medium,Pending,,,I requested a password reset link three times but never received the email in my inbox or spam folder.,AGT0063
TCK0000680,CUST000871,2026-05-14,Account Access,Email verification issue,Medium,Pending,,,The verification email never arrived after I updated my email address in account settings.,AGT0083
TCK0000681,CUST000875,2021-11-12,Streaming Quality,Low resolution,Low,Resolved,7.6,2.0,Even on the premium plan the video quality looks like standard definition on my smart TV.,AGT0079
TCK0000682,CUST000877,,Streaming Quality,Buffering,Low,Pending,,,Streaming keeps buffering constantly even though my internet speed test shows more than enough bandwidth.,AGT0019
TCK0000683,CUST000881,2025-04-16,Streaming Quality,App crashing,Low,Resolved,13.1,5.0,"The app crashes every time I try to open a show on my mobile device, I already reinstalled it twice.",AGT0120
TCK0000684,CUST000882,2026-04-02,Account Access,Login failure,Low,Resolved,10.7,5.0,"I cannot log into my account from my phone even though the password is correct, it keeps saying invalid credentials.",AGT0064
TCK0000685,CUST000882,2024-08-11,Account Access,Email verification issue,Low,Resolved,12.5,3.0,The verification email never arrived after I updated my email address in account settings.,AGT0091
TCK0000686,CUST000884,2022-09-10,Billing & Payments,Refund request,Critical,Resolved,19.8,3.0,I want to request a refund since I cancelled within the trial period but was still charged the full amount.,AGT0117
TCK0000687,CUST000884,2021-07-06,Billing & Payments,Failed payment,Critical,Resolved,12.2,1.0,"I was charged but the payment shows as failed on my end, please check and confirm my subscription status.",AGT0037
TCK0000688,CUST000885,2025-07-07,Billing & Payments,Duplicate charge,Medium,Resolved,5.4,4.0,There are two identical transactions on my statement for this billing cycle which should not have happened.,AGT0033
TCK0000689,CUST000885,2025-11-15,Device & App,Download failure,Medium,Pending,,,Downloads for offline viewing keep failing at random percentages and I have to restart every time.,AGT0099
TCK0000690,CUST000886,2025-08-24,Streaming Quality,Audio sync issue,Low,Escalated,,,The audio is out of sync with the video on almost every title I try to watch on my tablet.,AGT0097
TCK0000691,CUST000886,2022-05-28,Device & App,Device not supported,Low,Closed,2.0,3.0,My new smart TV model shows the app as unsupported even though older models work fine.,AGT0100
TCK0000692,CUST000887,2024-06-01,Streaming Quality,Buffering,Low,Closed,2.1,3.0,Streaming keeps buffering constantly even though my internet speed test shows more than enough bandwidth.,AGT0038
TCK0000693,CUST000889,2023-04-03,Streaming Quality,Buffering,Medium,Closed,3.5,3.0,The video quality drops and buffers every evening during peak hours which is very annoying.,AGT0005
TCK0000694,CUST000890,2026-05-24,Streaming Quality,Low resolution,Low,Resolved,76.4,2.0,Even on the premium plan the video quality looks like standard definition on my smart TV.,AGT0001
TCK0000695,CUST000891,2021-01-12,Device & App,Download failure,Medium,Resolved,69.7,1.0,Downloads for offline viewing keep failing at random percentages and I have to restart every time.,AGT0058
TCK0000696,CUST000892,2026-05-23,Account Access,Account locked,Medium,Resolved,1.5,4.0,My account got locked after multiple login attempts from a new device and support has not responded yet.,AGT0117
TCK0000697,CUST000892,2026-04-10,Billing & Payments,Refund request,Medium,Pending,,,I want to request a refund since I cancelled within the trial period but was still charged the full amount.,AGT0044
TCK0000698,CUST000892,2025-01-03,Account Access,Login failure,Low,Resolved,0.9,1.0,"Login keeps failing after the recent app update, this has been going on for two days now.",AGT0073
TCK0000699,CUST000893,2023-07-03,Billing & Payments,Price dispute,Critical,Closed,4.9,2.0,The price increased without any prior notice and I am not happy paying more for the same plan.,AGT0100
TCK0000700,CUST000894,2021-03-09,Streaming Quality,Buffering,Medium,Closed,16.0,4.0,Streaming keeps buffering constantly even though my internet speed test shows more than enough bandwidth.,AGT0088
TCK0000701,CUST000896,2025-12-31,Account Access,Login failure,Medium,Pending,,,"I cannot log into my account from my phone even though the password is correct, it keeps saying invalid credentials.",AGT0052
TCK0000702,CUST000898,2024-12-26,Account Access,Email verification issue,Low,Closed,32.5,3.0,The verification email never arrived after I updated my email address in account settings.,AGT0110
TCK0000703,CUST000901,2026-06-22,Billing & Payments,Invoice question,Medium,Closed,72.0,1.0,"Can you send me a detailed invoice breakdown for this month's charge, the app only shows a total amount.",AGT0043
TCK0000704,CUST000901,2026-04-04,Device & App,Device not supported,Low,Escalated,,,My new smart TV model shows the app as unsupported even though older models work fine.,AGT0088
TCK0000705,CUST000903,2020-02-03,Streaming Quality,Buffering,Medium,Escalated,,,Streaming keeps buffering constantly even though my internet speed test shows more than enough bandwidth.,AGT0111
TCK0000706,CUST000904,2025-09-13,Streaming Quality,Low resolution,High,Resolved,16.1,2.0,Even on the premium plan the video quality looks like standard definition on my smart TV.,AGT0020
TCK0000707,CUST000905,2026-04-12,Device & App,Download failure,Critical,Resolved,23.4,4.0,Downloads for offline viewing keep failing at random percentages and I have to restart every time.,AGT0091
TCK0000708,CUST000907,2023-07-31,Billing & Payments,Duplicate charge,Low,Pending,,,"I was billed twice for the same month, please refund the extra charge as soon as possible.",AGT0056
TCK0000709,CUST000908,2023-02-18,Subscription,Plan downgrade request,Low,Closed,17.3,4.0,"I would like to downgrade my plan next cycle, please let me know how to do that from my account settings.",AGT0011
TCK0000710,CUST000909,2025-08-07,Subscription,Auto-renew complaint,High,Closed,27.8,4.0,I was auto renewed without any reminder notification and would like a refund for this cycle.,AGT0041
TCK0000711,CUST000911,2024-04-14,Billing & Payments,Failed payment,High,Resolved,2.9,2.0,"I was charged but the payment shows as failed on my end, please check and confirm my subscription status.",AGT0051
TCK0000712,CUST000913,2026-06-25,Content,Content removed,High,Resolved,1.5,1.0,A show I was halfway through watching was removed from the platform with no notice at all.,AGT0091
TCK0000713,CUST000914,2022-08-29,Content,Missing subtitles,Critical,Closed,2.8,5.0,Subtitles are missing for several titles in my preferred language even though it is listed as available.,AGT0001
TCK0000714,CUST000917,2025-06-29,Subscription,Plan upgrade request,Low,Closed,12.0,5.0,I want to upgrade to the premium plan for better video quality and more simultaneous streams.,AGT0057
TCK0000715,CUST000918,2026-04-28,Account Access,Login failure,Low,Closed,41.2,5.0,"Login keeps failing after the recent app update, this has been going on for two days now.",AGT0117
TCK0000716,CUST000922,2026-05-22,Streaming Quality,App crashing,Medium,Closed,4.0,2.0,"The app crashes every time I try to open a show on my mobile device, I already reinstalled it twice.",AGT0091
TCK0000717,CUST000924,2026-06-03,Subscription,Auto-renew complaint,Critical,Resolved,24.2,5.0,I was auto renewed without any reminder notification and would like a refund for this cycle.,AGT0095
TCK0000718,CUST000925,2024-02-10,Subscription,Plan downgrade request,Medium,Resolved,3.1,5.0,"I would like to downgrade my plan next cycle, please let me know how to do that from my account settings.",AGT0080
TCK0000719,CUST000925,2024-09-03,Billing & Payments,Duplicate charge,Critical,Resolved,19.9,3.0,There are two identical transactions on my statement for this billing cycle which should not have happened.,AGT0090
TCK0000720,CUST000926,2026-02-22,Streaming Quality,Low resolution,Medium,Resolved,66.9,4.0,Even on the premium plan the video quality looks like standard definition on my smart TV.,AGT0053
TCK0000721,CUST000926,2026-05-14,Billing & Payments,Price dispute,Critical,Closed,10.8,5.0,I did not receive any communication about the plan price change and feel this was handled poorly.,AGT0044
TCK0000722,CUST000929,2023-11-03,Device & App,Download failure,Low,Closed,1.7,2.0,Downloads for offline viewing keep failing at random percentages and I have to restart every time.,AGT0008
TCK0000723,CUST000929,2022-12-29,Device & App,Sync across devices,Medium,Escalated,,,My watch history does not sync between my phone and my TV even though I am logged into the same account.,AGT0081
TCK0000724,CUST000930,2024-04-13,Account Access,Email verification issue,Medium,Pending,,,The verification email never arrived after I updated my email address in account settings.,AGT0008
TCK0000725,CUST000930,2026-05-24,Billing & Payments,Failed payment,Medium,Resolved,17.6,2.0,"Card declined during renewal, I had to retry three times before it finally went through and I am frustrated with this.",AGT0075
TCK0000726,CUST000931,2024-03-31,Content,Content removed,Medium,Closed,28.8,4.0,A show I was halfway through watching was removed from the platform with no notice at all.,AGT0119
TCK0000727,CUST000934,2024-11-30,Subscription,Plan downgrade request,Medium,Closed,19.5,5.0,"I would like to downgrade my plan next cycle, please let me know how to do that from my account settings.",AGT0103
TCK0000728,CUST000936,2025-04-12,Streaming Quality,Low resolution,Medium,Resolved,25.8,4.0,Even on the premium plan the video quality looks like standard definition on my smart TV.,AGT0042
TCK0000729,CUST000937,2024-02-26,Subscription,Plan upgrade request,Medium,Pending,,,I want to upgrade to the premium plan for better video quality and more simultaneous streams.,AGT0049
TCK0000730,CUST000938,2021-08-12,Content,Content unavailable in region,Low,Resolved,26.1,4.0,Several titles I could watch last month are now unavailable in my region without any explanation.,AGT0020
TCK0000731,CUST000942,2025-03-28,Billing & Payments,Failed payment,High,Resolved,3.6,2.0,"I was charged but the payment shows as failed on my end, please check and confirm my subscription status.",AGT0074
TCK0000732,CUST000943,2023-07-13,Subscription,Cancellation request,High,Pending,,,"I want to cancel my subscription immediately, I have not been using the service for the last few months.",AGT0004
TCK0000733,CUST000944,2023-05-29,Streaming Quality,Low resolution,High,Closed,5.9,4.0,Even on the premium plan the video quality looks like standard definition on my smart TV.,AGT0095
TCK0000734,CUST000944,2025-12-24,Streaming Quality,Audio sync issue,Low,Resolved,1.8,2.0,The audio is out of sync with the video on almost every title I try to watch on my tablet.,AGT0062
TCK0000735,CUST000949,2025-06-04,Account Access,Email verification issue,Low,Resolved,5.4,5.0,The verification email never arrived after I updated my email address in account settings.,AGT0088
TCK0000736,CUST000949,2022-06-11,Device & App,Device not supported,Low,Pending,,,My new smart TV model shows the app as unsupported even though older models work fine.,AGT0119
TCK0000737,CUST000949,2026-04-28,Streaming Quality,Buffering,Low,Resolved,2.9,4.0,Streaming keeps buffering constantly even though my internet speed test shows more than enough bandwidth.,AGT0043
TCK0000738,CUST000951,2026-04-23,Account Access,Account locked,Medium,Escalated,,,My account got locked after multiple login attempts from a new device and support has not responded yet.,AGT0056
TCK0000739,CUST000951,2020-07-13,Device & App,App not loading,Low,Resolved,12.4,3.0,The app does not load past the splash screen on my gaming console since the last update.,AGT0096
TCK0000740,CUST000951,2025-04-27,Billing & Payments,Refund request,Medium,Resolved,7.4,3.0,I want to request a refund since I cancelled within the trial period but was still charged the full amount.,AGT0084
TCK0000741,CUST000953,2023-06-16,Streaming Quality,Audio sync issue,Medium,Resolved,10.6,2.0,The audio is out of sync with the video on almost every title I try to watch on my tablet.,AGT0073
TCK0000742,CUST000955,2024-05-12,Subscription,Auto-renew complaint,Low,Resolved,1.9,3.0,I was auto renewed without any reminder notification and would like a refund for this cycle.,AGT0103
TCK0000743,CUST000956,2023-12-18,Subscription,Plan upgrade request,Medium,Closed,37.1,2.0,I want to upgrade to the premium plan for better video quality and more simultaneous streams.,AGT0077
TCK0000744,CUST000960,2026-04-04,Account Access,Account locked,Medium,Resolved,42.4,5.0,My account got locked after multiple login attempts from a new device and support has not responded yet.,AGT0117
TCK0000745,CUST000960,2024-06-09,Device & App,App not loading,Medium,Pending,,,The app does not load past the splash screen on my gaming console since the last update.,AGT0045
TCK0000746,CUST000961,2023-02-16,Subscription,Plan upgrade request,Low,Resolved,25.5,3.0,I want to upgrade to the premium plan for better video quality and more simultaneous streams.,AGT0075
TCK0000747,CUST000963,2026-05-22,Content,Content unavailable in region,Low,Closed,20.0,3.0,Several titles I could watch last month are now unavailable in my region without any explanation.,AGT0014
TCK0000748,CUST000967,2025-12-13,Billing & Payments,Refund request,Medium,Resolved,0.9,5.0,"Please process a refund, I was charged after cancellation and this needs to be corrected quickly.",AGT0012
TCK0000749,CUST000970,2023-08-29,Streaming Quality,Audio sync issue,High,Closed,1.1,1.0,The audio is out of sync with the video on almost every title I try to watch on my tablet.,AGT0058
TCK0000750,CUST000972,2023-01-25,Streaming Quality,Low resolution,Low,Resolved,59.6,3.0,Even on the premium plan the video quality looks like standard definition on my smart TV.,AGT0024
TCK0000751,CUST000973,2024-10-17,Account Access,Password reset,Low,Pending,,,I requested a password reset link three times but never received the email in my inbox or spam folder.,AGT0091
TCK0000752,CUST000974,2024-01-29,Streaming Quality,Buffering,Low,Pending,,,The video quality drops and buffers every evening during peak hours which is very annoying.,AGT0079
TCK0000753,CUST000975,2025-03-04,Streaming Quality,Audio sync issue,Critical,Resolved,8.5,3.0,The audio is out of sync with the video on almost every title I try to watch on my tablet.,AGT0089
TCK0000754,CUST000976,2026-02-15,Device & App,Download failure,High,Resolved,17.6,3.0,Downloads for offline viewing keep failing at random percentages and I have to restart every time.,AGT0096
TCK0000755,CUST000977,2026-06-12,Content,Content unavailable in region,Medium,Resolved,63.5,4.0,Several titles I could watch last month are now unavailable in my region without any explanation.,AGT0039
TCK0000756,CUST000977,2025-06-05,Account Access,Login failure,Medium,Resolved,5.4,4.0,"Login keeps failing after the recent app update, this has been going on for two days now.",AGT0062
TCK0000757,CUST000977,2025-06-27,Content,Content removed,Medium,Resolved,1.2,4.0,A show I was halfway through watching was removed from the platform with no notice at all.,AGT0063
TCK0000758,CUST000978,2025-11-14,Streaming Quality,App crashing,Medium,Resolved,39.7,1.0,"The app crashes every time I try to open a show on my mobile device, I already reinstalled it twice.",AGT0008
TCK0000759,CUST000979,2021-12-23,Account Access,Password reset,Medium,Closed,2.1,3.0,I requested a password reset link three times but never received the email in my inbox or spam folder.,AGT0092
TCK0000760,CUST000980,2026-06-11,Account Access,Account locked,Medium,Closed,34.1,3.0,My account got locked after multiple login attempts from a new device and support has not responded yet.,AGT0011
TCK0000761,CUST000982,2026-03-16,Subscription,Plan downgrade request,Medium,Pending,,,"I would like to downgrade my plan next cycle, please let me know how to do that from my account settings.",AGT0022
TCK0000762,CUST000982,2024-04-09,Subscription,Plan downgrade request,High,Resolved,5.7,5.0,"I would like to downgrade my plan next cycle, please let me know how to do that from my account settings.",AGT0073
TCK0000763,CUST000982,2025-01-10,Device & App,Download failure,Low,Resolved,0.5,4.0,Downloads for offline viewing keep failing at random percentages and I have to restart every time.,AGT0006
TCK0000764,CUST000982,2026-06-27,Billing & Payments,Failed payment,Low,Escalated,,,"Card declined during renewal, I had to retry three times before it finally went through and I am frustrated with this.",AGT0115
TCK0000765,CUST000983,2025-03-22,Content,Content removed,High,Pending,,,A show I was halfway through watching was removed from the platform with no notice at all.,AGT0074
TCK0000766,CUST000985,2025-03-19,Streaming Quality,Low resolution,Low,Escalated,,,Even on the premium plan the video quality looks like standard definition on my smart TV.,AGT0042
TCK0000767,CUST000985,2025-11-03,Subscription,Cancellation request,High,Closed,23.0,3.0,"I want to cancel my subscription immediately, I have not been using the service for the last few months.",AGT0077
TCK0000768,CUST000986,2022-09-20,Streaming Quality,Buffering,Medium,Pending,,,Streaming keeps buffering constantly even though my internet speed test shows more than enough bandwidth.,AGT0084
TCK0000769,CUST000986,2023-09-19,Device & App,App not loading,Low,Resolved,103.3,1.0,The app does not load past the splash screen on my gaming console since the last update.,AGT0012
TCK0000770,CUST000987,2023-09-23,Device & App,Device not supported,Medium,Resolved,6.4,3.0,My new smart TV model shows the app as unsupported even though older models work fine.,AGT0033
TCK0000771,CUST000987,2024-08-27,Subscription,Auto-renew complaint,High,Closed,37.5,5.0,I was auto renewed without any reminder notification and would like a refund for this cycle.,AGT0088
TCK0000772,CUST000988,2025-01-10,Device & App,Device not supported,Medium,Resolved,7.5,4.0,My new smart TV model shows the app as unsupported even though older models work fine.,AGT0061
TCK0000773,CUST000988,2024-12-14,Streaming Quality,App crashing,Low,Resolved,15.2,3.0,"The app crashes every time I try to open a show on my mobile device, I already reinstalled it twice.",AGT0003
TCK0000774,CUST000988,2026-06-17,Streaming Quality,Buffering,High,Closed,28.6,4.0,Streaming keeps buffering constantly even though my internet speed test shows more than enough bandwidth.,AGT0038
TCK0000775,CUST000988,2025-05-09,Billing & Payments,Failed payment,Low,Escalated,,,"My payment failed twice this month even though my card has sufficient balance, and I still lost access to my account.",AGT0101
TCK0000776,CUST000991,2025-11-12,Account Access,Login failure,High,Resolved,6.4,4.0,"I cannot log into my account from my phone even though the password is correct, it keeps saying invalid credentials.",AGT0017
TCK0000777,CUST000992,2025-12-10,Streaming Quality,Buffering,Low,Closed,7.6,4.0,Streaming keeps buffering constantly even though my internet speed test shows more than enough bandwidth.,AGT0050
TCK0000778,CUST000993,2024-06-20,Billing & Payments,Refund request,Low,Pending,,,I want to request a refund since I cancelled within the trial period but was still charged the full amount.,AGT0098
TCK0000779,CUST000994,2026-05-05,Subscription,Cancellation request,Medium,Resolved,25.2,4.0,"I want to cancel my subscription immediately, I have not been using the service for the last few months.",AGT0111
TCK0000780,CUST000995,2026-06-10,Content,Content unavailable in region,Medium,Resolved,115.8,4.0,Several titles I could watch last month are now unavailable in my region without any explanation.,AGT0028
TCK0000781,CUST000997,2023-09-05,Subscription,Plan upgrade request,Low,Resolved,1.2,2.0,I want to upgrade to the premium plan for better video quality and more simultaneous streams.,AGT0036
TCK0000782,CUST001000,2026-05-15,Streaming Quality,Buffering,High,Resolved,23.6,3.0,The video quality drops and buffers every evening during peak hours which is very annoying.,AGT0057
TCK0000783,CUST001000,2025-02-03,Streaming Quality,Buffering,High,Resolved,10.7,4.0,Streaming keeps buffering constantly even though my internet speed test shows more than enough bandwidth.,AGT0029
TCK0000784,CUST001000,2025-03-02,Billing & Payments,Invoice question,Low,Resolved,11.3,4.0,"Can you send me a detailed invoice breakdown for this month's charge, the app only shows a total amount.",AGT0076
TCK0000785,CUST001000,2023-11-30,Account Access,Login failure,Low,Resolved,0.8,4.0,"Login keeps failing after the recent app update, this has been going on for two days now.",AGT0017
TCK0000786,CUST001000,2026-05-27,Streaming Quality,Buffering,Medium,Closed,12.2,4.0,The video quality drops and buffers every evening during peak hours which is very annoying.,AGT0080
TCK0000787,CUST001004,2024-05-29,Account Access,Password reset,Critical,Pending,,,I requested a password reset link three times but never received the email in my inbox or spam folder.,AGT0067
TCK0000788,CUST001004,2024-02-09,Billing & Payments,Invoice question,Low,Resolved,18.8,4.0,"Can you send me a detailed invoice breakdown for this month's charge, the app only shows a total amount.",AGT0077
TCK0000789,CUST001004,2020-01-24,Billing & Payments,Duplicate charge,Low,Resolved,24.8,3.0,There are two identical transactions on my statement for this billing cycle which should not have happened.,AGT0016
TCK0000790,CUST001005,2024-12-28,Content,Content unavailable in region,Medium,Resolved,25.6,3.0,Several titles I could watch last month are now unavailable in my region without any explanation.,AGT0114
TCK0000791,CUST001006,2025-05-01,Subscription,Plan upgrade request,Medium,Resolved,34.3,2.0,I want to upgrade to the premium plan for better video quality and more simultaneous streams.,AGT0074
TCK0000792,CUST001010,2022-11-20,Device & App,App not loading,High,Resolved,5.1,3.0,The app does not load past the splash screen on my gaming console since the last update.,AGT0034
TCK0000793,CUST001011,2025-09-19,Billing & Payments,Invoice question,Low,Resolved,1.9,1.0,"Can you send me a detailed invoice breakdown for this month's charge, the app only shows a total amount.",AGT0098
TCK0000794,CUST001011,2025-11-03,Billing & Payments,Refund request,Low,Resolved,0.5,5.0,"Please process a refund, I was charged after cancellation and this needs to be corrected quickly.",AGT0053
